Unidad;Participante;Descripción;Año;Periodo tarifario;GD_A_E0;GD_A_E1;GD_A_E2_A;GD_A_E2_B;GD_A_E3;GD_A_E4;GD_A_E5;GD_A_E6;GD_S_E0;GD_S_E1;GD_S_E2_A;GD_S_E2_B;GD_S_E3;GD_S_E4;GD_S_E5;GD_S_E6;ED_A_E0;ED_A_E1;ED_A_E2_A;ED_A_E2_B;ED_A_E3;ED_A_E4;ED_A_E5;ED_A_E6;ED_S_E0;ED_S_E1;ED_S_E2_A;ED_S_E2_B;ED_S_E3;ED_S_E4;ED_S_E5;ED_S_E6;AG_RE_TOTAL;DD_A_E0;DD_A_E1;DD_A_E2_A;DD_A_E2_B;DD_A_E3;DD_A_E4;DD_A_E5;DD_A_E6;DD_S_E0;DD_S_E1;DD_S_E2_A;DD_S_E2_B;DD_S_E3;DD_S_E4;DD_S_E5;DD_S_E6;DT_A_TOTAL;DT_S_TOTAL;CL_E0;CL_E1;CL_E2;CL_E3;CL_E4;CL_E5;CL_E6
R1-210;0128;CENTRAL ELÉCTRICA SAN ANTONIO, S.L.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.217.730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;875.537;0;269.634;0;0;0;0
R1-210;0128;CENTRAL ELÉCTRICA SAN ANTONIO, S.L.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.628.084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.136.910;0;390.101;0;0;0;0
R1-210;0128;CENTRAL ELÉCTRICA SAN ANTONIO, S.L.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.624.742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.932.532;0;1.277.490;0;0;0;0
R1-211;0181;ELECTRA CUNTIENSE, S.L.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;906.414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;834.090;0;0;0;0;0;0
R1-211;0181;ELECTRA CUNTIENSE, S.L.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.203.120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.054.191;0;0;0;0;0;0
R1-211;0181;ELECTRA CUNTIENSE, S.L.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;595.609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;541.561;0;0;0;0;0;0
R1-211;0181;ELECTRA CUNTIENSE, S.L.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;931.223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;832.839;0;0;0;0;0;0
R1-211;0181;ELECTRA CUNTIENSE, S.L.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.331.854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.197.670;0;0;0;0;0;0
R1-211;0181;ELECTRA CUNTIENSE, S.L.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.291.918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.254.289;0;0;0;0;0;0
R1-213;0262;ELÉCTRICAS DE BENUZA, S.L.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;482.986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.967;315.641;12.385;0;0;0;0
R1-213;0262;ELÉCTRICAS DE BENUZA, S.L.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;592.686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69.662;403.349;19.712;0;0;0;0
R1-213;0262;ELÉCTRICAS DE BENUZA, S.L.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311.245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.151;222.458;5.071;0;0;0;0
R1-213;0262;ELÉCTRICAS DE BENUZA, S.L.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;549.998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54.581;398.382;15.670;0;0;0;0
R1-213;0262;ELÉCTRICAS DE BENUZA, S.L.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;794.750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65.589;588.123;32.890;0;0;0;0
R1-213;0262;ELÉCTRICAS DE BENUZA, S.L.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;939.464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;286.178;908.945;17.844;0;0;0;0
R1-214;0346;RODALEC, S.L.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80.510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.311;0;0;0;0;0;0
R1-214;0346;RODALEC, S.L.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99.588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95.281;0;0;0;0;0;0
R1-214;0346;RODALEC, S.L.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.883;0;0;0;0;0;0
R1-214;0346;RODALEC, S.L.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69.795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.580;0;0;0;0;0;0
R1-214;0346;RODALEC, S.L.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104.293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100.563;0;0;0;0;0;0
R1-214;0346;RODALEC, S.L.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;539.906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505.230;0;0;0;0;0;0
R1-215;0233;ELÉCTRICA DEL HUEBRA, S.L.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.592;0;78.243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60.867;14.358;0;0;0;0;0
R1-215;0233;ELÉCTRICA DEL HUEBRA, S.L.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.655;0;105.859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83.199;18.423;0;0;0;0;0
R1-215;0233;ELÉCTRICA DEL HUEBRA, S.L.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361;0;47.654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.249;7.905;0;0;0;0;0
R1-215;0233;ELÉCTRICA DEL HUEBRA, S.L.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596;0;80.737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59.895;14.281;0;0;0;0;0
R1-215;0233;ELÉCTRICA DEL HUEBRA, S.L.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;245;0;117.818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89.289;18.635;0;0;0;0;0
R1-215;0233;ELÉCTRICA DEL HUEBRA, S.L.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.710;0;499.553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;382.388;98.571;0;0;0;0;0
R1-216;0566;DISTRIBUIDORA ELÉCTRICA NAVASFRIAS, S.L.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77.824;0;0;24.943;0;0;0;0;0;0;0;0;0;0;0;0;81.211;2.895;0;0;0;0;0
